	Cycling	Treg	Naïve/Memory	Effector
GBP2	0.0004741152092367	0.0035977767997475	0.001189596458804	0.0006576396954969
GBP4	0.0015327788827416	0.0014878643029521	0.0009849335271266	0.0005215248776917
GBP5	0.0008950897042415	0.0029957172718101	0.0013208165423146	0.0005337180435704
GBP6	0.0	0.000184693484206	7.882183453442412e-05	4.671096223684006e-05
TGFBR3	0.0006280904969268	0.0001045688592568	0.0011660794294118	0.0006858508358457
BTBD8	0.0	0.0	0.0005434503894347	0.0001286459907369
RPAP2	0.0001025340176864	0.0006965504683609	0.0008532650397104	0.0004584871849606
CCDC18	0.0008522437068754	0.0001387942227256	0.0005456909127717	0.0002941310409858
TLCD4	0.0	5.72729417665936e-05	0.0001041482208999	5.5536409866321135e-06
RTCA-AS1	0.0	0.0001733933763153	0.0003134434414036	0.0001485100267472
VCAM1	0.0006060919193342	0.00049091259402	0.0001826288975706	0.0003662503394251
VAV3	0.0	0.0020327364607624	0.000350869405754	0.0013023229726138
CSF1	7.002535740502322e-06	0.0015636644046268	0.0	0.0018868537244319
TMIGD3	0.0	0.0002403244724919	8.706620445946577e-05	9.921404201810318e-05
CTTNBP2NL	6.2240781371257285e-06	0.0017573174508568	0.0	0.0
WNT2B	0.0	0.0002102491218825	0.0001830840038869	2.2678788769912113e-05
SLC16A1	0.0005996760196474	0.0023245996642043	0.0004560894362581	9.655727505097787e-05
SLC16A1-AS1	0.0001266860096494	0.0002283938627387	0.0004600207435812	7.456452908585762e-05
MAGI3	0.0001142532763244	0.0001107434566743	0.000495456591199	0.0
PHTF1	0.0003654339291707	0.0009467369027542	0.0005618605999849	0.0004448976209913
VANGL1	0.0008623485752855	0.0004837343322019	0.0002629438604496	0.0006845256822382
CD101	0.0002714437591403	0.0004197166693423	0.000534264977273	0.0002186820870094
TTF2	0.0011896846756985	0.0007365820943268	0.0005364182248359	0.0002728926039163
NBPF20	4.053386209292158e-05	2.260804655006724e-05	0.000665979788411	0.0001226526694869
CD160	0.0	0.0	0.0	0.0024026392928046
TXNIP	0.0	4.983261230296174e-05	0.0034749715961141	0.0006315225465729
